°üÃø¼Ò¸í:´ëÇÑÇØÇù
À§µµ:34.919
°æµµ:129.12125
°üÃø½Ã°£	Ç¥ÃþÀ¯¼Ó(cm/s)		Ç¥ÃþÀ¯Çâ(deg)	¼ö¿Â(¡É)	À¯ÀÇÆÄ°í(MOSE.HF)(m)	À¯ÀÇÆÄÁÖ±â(MOSE.HF)(sec)	ÃÖ´ëÆÄ°í(MOSE.HF)(m)	ÃÖ´ëÆÄÁÖ±â(MOSE.HF)(sec)		ÆÄÇâ(deg)	Ç³¼Ó(m/s)		Ç³Çâ(deg)	±â¿Â(¡É)	±â¾Ð(hPa)	
2023/06/01 00:00:00	53.0	ºÏµ¿	45	20.12	0.95	5.4	1.54	5.5	ºÏµ¿	53.00	6.0	ºÏµ¿	43	19.1	1011.8	
2023/06/01 00:30:00	39.1	ºÏµ¿	50	20.02	0.91	5.7	1.57	5.5	³²	186.00	6.8	ºÏµ¿	35	18.7	1011.4	
2023/06/01 01:00:00	31.9	ºÏµ¿	46	19.99	0.95	6.4	1.37	7.5	³²	184.00	6.8	ºÏµ¿	36	18.6	1011.5	
2023/06/01 01:30:00	28.2	ºÏµ¿	52	19.96	0.88	5.5	1.47	10.5	³²³²¼­	193.00	7.2	ºÏµ¿	37	18.6	1011.1	
2023/06/01 02:00:00	23.0	ºÏµ¿	47	19.99	0.89	5.5	1.31	5.0	³²³²¼­	204.00	7.5	ºÏµ¿	35	18.6	1010.8	
2023/06/01 02:30:00	15.5	ºÏºÏµ¿	18	19.99	0.88	5.4	1.26	5.0	µ¿ºÏµ¿	63.00	7.3	ºÏµ¿	35	18.6	1010.6	
2023/06/01 03:00:00	16.6	ºÏºÏµ¿	32	20.07	0.89	5.6	1.25	11.5	³²³²¼­	197.00	6.7	ºÏµ¿	41	18.6	1010.2	
2023/06/01 03:30:00	16.6	ºÏ	2	20.08	0.93	6.0	1.35	5.0	³²³²¼­	193.00	5.7	ºÏµ¿	44	18.7	1009.9	
2023/06/01 04:00:00	14.1	ºÏºÏµ¿	17	20.05	0.79	5.7	1.23	5.0	³²³²¼­	203.00	5.9	ºÏµ¿	50	18.7	1009.6	
2023/06/01 04:30:00	12.6	ºÏºÏµ¿	29	20.01	0.81	6.4	1.36	6.5	³²³²¼­	201.00	6.0	ºÏµ¿	47	18.7	1009.3	
2023/06/01 05:00:00	17.6	ºÏµ¿	38	19.97	0.82	6.1	1.49	6.0	³²³²¼­	202.00	5.7	ºÏµ¿	46	18.7	1009.3	
2023/06/01 05:30:00	17.8	ºÏµ¿	52	19.93	0.79	6.5	1.24	7.5	³²³²¼­	202.00	5.3	ºÏµ¿	48	18.7	1009.3	
2023/06/01 06:00:00	19.0	ºÏµ¿	43	19.92	0.79	6.2	1.29	9.0	³²	188.00	4.7	ºÏµ¿	50	18.8	1009.2	
2023/06/01 06:30:00	20.8	µ¿ºÏµ¿	61	19.91	0.82	6.6	1.23	4.5	µ¿ºÏµ¿	64.00	4.7	µ¿ºÏµ¿	57	19.1	1009.0	
2023/06/01 07:00:00	21.6	ºÏµ¿	49	19.89	0.71	6.7	1.10	6.5	ºÏµ¿	42.00	4.3	ºÏµ¿	56	19.3	1009.3	
2023/06/01 07:30:00	35.5	µ¿ºÏµ¿	59	19.86	0.76	6.0	1.22	7.5	ºÏµ¿	54.00	5.3	ºÏºÏµ¿	33	18.6	1009.2	
2023/06/01 08:00:00	31.7	µ¿ºÏµ¿	61	19.85	0.71	6.0	1.01	6.0	ºÏµ¿	47.00	5.0	ºÏµ¿	40	18.5	1009.4	
2023/06/01 08:30:00	34.8	µ¿ºÏµ¿	63	19.81	0.75	6.5	1.22	6.0	µ¿ºÏµ¿	60.00	4.9	ºÏºÏµ¿	30	18.7	1009.6	
2023/06/01 09:00:00	40.5	µ¿ºÏµ¿	57	19.77	0.75	6.7	1.30	5.0	ºÏµ¿	53.00	4.7	ºÏºÏµ¿	29	18.7	1009.5	
2023/06/01 09:30:00	40.8	ºÏµ¿	49	19.75	0.67	6.4	1.04	6.0	µ¿ºÏµ¿	58.00	4.5	ºÏµ¿	46	18.9	1009.5	
2023/06/01 10:00:00	51.6	ºÏµ¿	44	19.74	0.73	6.9	0.97	7.5	ºÏµ¿	49.00	4.5	ºÏµ¿	38	18.9	1009.2	
2023/06/01 10:30:00	42.3	ºÏµ¿	50	19.77	0.68	7.0	1.11	6.5	ºÏµ¿	35.00	4.4	ºÏºÏµ¿	29	19.0	1009.0	
2023/06/01 11:00:00	31.5	ºÏµ¿	37	19.75	0.68	6.4	1.06	6.0	ºÏºÏµ¿	30.00	3.8	ºÏºÏµ¿	32	19.0	1009.1	
2023/06/01 11:30:00	32.4	ºÏµ¿	47	19.73	0.65	6.5	1.04	6.0	ºÏµ¿	54.00	2.7	ºÏºÏµ¿	28	19.0	1009.3	
2023/06/01 12:00:00	31.5	ºÏµ¿	37	19.74	0.64	6.3	1.06	7.0	µ¿ºÏµ¿	58.00	5.0	ºÏºÏ¼­	332	18.4	1009.3	
2023/06/01 12:30:00	28.7	ºÏºÏµ¿	32	19.72	0.67	7.0	0.98	8.5	ºÏµ¿	41.00	3.5	ºÏºÏ¼­	329	17.6	1008.9	
2023/06/01 13:00:00	14.0	ºÏºÏµ¿	22	19.73	0.68	6.5	1.11	10.0	ºÏµ¿	49.00	2.3	ºÏ	4	17.6	1008.5	
2023/06/01 13:30:00	7.4	ºÏ	358	19.76	0.67	5.8	1.13	5.5	µ¿ºÏµ¿	58.00	2.2	ºÏµ¿	41	18.1	1007.9	
2023/06/01 14:00:00	6.4	ºÏ¼­	319	19.83	0.68	6.1	0.96	5.5	³²³²¼­	202.00	2.4	ºÏºÏµ¿	28	18.4	1007.7	
2023/06/01 14:30:00	13.7	¼­ºÏ¼­	295	19.96	0.72	6.7	1.07	6.5	³²³²¼­	197.00	3.2	ºÏ	8	18.6	1007.3	
2023/06/01 15:00:00	6.8	ºÏ¼­	310	19.97	0.73	5.8	1.18	6.0	ºÏºÏµ¿	32.00	4.4	ºÏ	356	18.3	1007.3	
